Category,Year,Make,Model
SUV,2005,Toyota,Highlander
"Coupe, Convertible",2005,Toyota,Solara
Sedan,2004,Toyota,Avalon
SUV,2004,Toyota,4Runner
Pickup,2006,Toyota,Tundra Regular Cab
Wagon,2005,Toyota,Matrix
Hatchback,2005,Toyota,Celica
Pickup,2005,Toyota,Tacoma Access Cab
Pickup,2005,Toyota,Tacoma Double Cab
Sedan,2004,Toyota,Corolla
Pickup,2004,Toyota,Tacoma Double Cab
Hatchback,2005,Toyota,Prius
Van/Minivan,2005,Toyota,Sienna
Sedan,2005,Toyota,Corolla
Sedan,2004,Toyota,Echo
SUV,2004,Toyota,RAV4
SUV,2005,Toyota,RAV4
Pickup,2005,Toyota,Tacoma Regular Cab
Sedan,2004,Toyota,Prius
Sedan,2004,Toyota,Camry
Convertible,2005,Toyota,MR2
SUV,2004,Toyota,Highlander
Pickup,2005,Toyota,Tundra Access Cab
Pickup,2005,Toyota,Tundra Double Cab
Convertible,2004,Toyota,MR2
Hatchback,2004,Toyota,Celica
SUV,2004,Toyota,Sequoia
"Coupe, Convertible",2004,Toyota,Solara
Van/Minivan,2004,Toyota,Sienna
Pickup,2004,Toyota,Tundra Regular Cab
Pickup,2004,Toyota,Tacoma Regular Cab
Hatchback,2003,Toyota,Celica
Pickup,2004,Toyota,Tundra Double Cab
Pickup,2004,Toyota,Tacoma Xtracab
SUV,2003,Toyota,4Runner
Wagon,2003,Toyota,Matrix
Van/Minivan,2003,Toyota,Sienna
Sedan,2003,Toyota,Echo
SUV,2004,Toyota,Land Cruiser
Pickup,2004,Toyota,Tundra Access Cab
"Hatchback, Wagon",2004,Toyota,Matrix
Sedan,2003,Toyota,Corolla
Convertible,2003,Toyota,MR2
Sedan,2003,Toyota,Prius
"Coupe, Convertible",2003,Toyota,Solara
Sedan,2003,Toyota,Avalon
SUV,2003,Toyota,RAV4
Sedan,2003,Toyota,Camry
SUV,2003,Toyota,Sequoia
Pickup,2003,Toyota,Tundra Access Cab
Sedan,2002,Toyota,Corolla
SUV,2003,Toyota,Land Cruiser
Pickup,2003,Toyota,Tacoma Double Cab
SUV,2003,Toyota,Highlander
Pickup,2003,Toyota,Tundra Regular Cab
SUV,2002,Toyota,4Runner
Convertible,2002,Toyota,MR2
Hatchback,2002,Toyota,Celica
Sedan,2002,Toyota,Prius
Sedan,2002,Toyota,Camry
SUV,2002,Toyota,RAV4
Pickup,2003,Toyota,Tacoma Regular Cab
"Sedan, Coupe",2002,Toyota,Echo
Sedan,2002,Toyota,Avalon
Pickup,2003,Toyota,Tacoma Xtracab
SUV,2002,Toyota,Highlander
SUV,2002,Toyota,Land Cruiser
Van/Minivan,2002,Toyota,Sienna
Sedan,2001,Toyota,Prius
SUV,2001,Toyota,Highlander
"Coupe, Convertible",2002,Toyota,Solara
Pickup,2002,Toyota,Tundra Access Cab
SUV,2001,Toyota,4Runner
SUV,2001,Toyota,Land Cruiser
Sedan,2001,Toyota,Corolla
Pickup,2002,Toyota,Tacoma Regular Cab
Pickup,2002,Toyota,Tundra Regular Cab
SUV,2002,Toyota,Sequoia
Hatchback,2001,Toyota,Celica
Sedan,2001,Toyota,Avalon
SUV,2001,Toyota,Sequoia
Pickup,2002,Toyota,Tacoma Double Cab
Pickup,2002,Toyota,Tacoma Xtracab
"Coupe, Sedan",2001,Toyota,Echo
Sedan,2001,Toyota,Camry
Pickup,2001,Toyota,Tundra Regular Cab
Sedan,2000,Toyota,Avalon
Sedan,2000,Toyota,Camry
Pickup,2001,Toyota,Tundra Access Cab
SUV,2001,Toyota,RAV4
Van/Minivan,2001,Toyota,Sienna
Pickup,2001,Toyota,Tacoma Xtracab
Pickup,2001,Toyota,Tacoma Regular Cab
Convertible,2001,Toyota,MR2
"Coupe, Convertible",2001,Toyota,Solara
Sedan,2000,Toyota,Corolla
Hatchback,2000,Toyota,Celica
Convertible,2000,Toyota,MR2
Pickup,2001,Toyota,Tacoma Double Cab
"Sedan, Coupe",2000,Toyota,Echo
SUV,2000,Toyota,Land Cruiser
SUV,2000,Toyota,4Runner
"Coupe, Convertible",2000,Toyota,Solara
Pickup,2000,Toyota,Tundra Regular Cab
Pickup,2000,Toyota,Tacoma Regular Cab
SUV,2000,Toyota,RAV4
Van/Minivan,2000,Toyota,Sienna
SUV,1999,Toyota,RAV4
Sedan,1999,Toyota,Avalon
Sedan,1999,Toyota,Camry
Pickup,2000,Toyota,Tacoma Xtracab
Van/Minivan,1999,Toyota,Sienna
SUV,1999,Toyota,Land Cruiser
SUV,1999,Toyota,4Runner
Sedan,1998,Toyota,Avalon
Pickup,1998,Toyota,Tacoma Regular Cab
Pickup,1999,Toyota,Tacoma Regular Cab
Van/Minivan,1998,Toyota,Sienna
"Hatchback, Convertible",1999,Toyota,Celica
SUV,1998,Toyota,Land Cruiser
Pickup,1999,Toyota,Tacoma Xtracab
SUV,1998,Toyota,RAV4
Pickup,2000,Toyota,Tundra Access Cab
Coupe,1999,Toyota,Solara
Sedan,1997,Toyota,Camry
Sedan,1999,Toyota,Corolla
SUV,1997,Toyota,4Runner
Sedan,1998,Toyota,Camry
SUV,1998,Toyota,4Runner
"Coupe, Hatchback, Convertible",1998,Toyota,Celica
Pickup,1998,Toyota,T100 Regular Cab
Sedan,1998,Toyota,Corolla
SUV,1997,Toyota,Land Cruiser
Van/Minivan,1997,Toyota,Previa
Pickup,1998,Toyota,Tacoma Xtracab
Sedan,1997,Toyota,Corolla
Pickup,1998,Toyota,T100 Xtracab
Sedan,1997,Toyota,Avalon
"Hatchback, Coupe, Convertible",1997,Toyota,Celica
Sedan,1998,Toyota,Tercel
Hatchback,1998,Toyota,Supra
Pickup,1997,Toyota,T100 Regular Cab
Pickup,1997,Toyota,Tacoma Regular Cab
Van/Minivan,1996,Toyota,Previa
Pickup,1997,Toyota,T100 Xtracab
Pickup,1997,Toyota,Tacoma Xtracab
"Hatchback, Convertible",1997,Toyota,Paseo
SUV,1996,Toyota,Land Cruiser
"Sedan, Coupe, Wagon",1996,Toyota,Camry
SUV,1997,Toyota,RAV4
SUV,1996,Toyota,4Runner
Pickup,1996,Toyota,Tacoma Xtracab
Pickup,1996,Toyota,Tacoma Regular Cab
Hatchback,1997,Toyota,Supra
Sedan,1996,Toyota,Avalon
Pickup,1996,Toyota,T100 Regular Cab
SUV,1996,Toyota,RAV4
Sedan,1997,Toyota,Tercel
Hatchback,1996,Toyota,Supra
"Sedan, Wagon",1996,Toyota,Corolla
"Sedan, Coupe, Wagon",1995,Toyota,Camry
SUV,1995,Toyota,4Runner
Sedan,1995,Toyota,Avalon
Coupe,1996,Toyota,Paseo
"Hatchback, Convertible, Coupe",1996,Toyota,Celica
Pickup,1996,Toyota,T100 Xtracab
Sedan,1996,Toyota,Tercel
"Hatchback, Convertible, Coupe",1995,Toyota,Celica
"Sedan, Wagon",1995,Toyota,Corolla
Hatchback,1995,Toyota,MR2
Hatchback,1995,Toyota,Supra
Coupe,1995,Toyota,Paseo
Pickup,1995,Toyota,Tacoma Regular Cab
SUV,1995,Toyota,Land Cruiser
Van/Minivan,1995,Toyota,Previa
Pickup,1995,Toyota,T100 Regular Cab
SUV,1994,Toyota,4Runner
Pickup,1995,Toyota,Regular Cab
Pickup,1995,Toyota,Tacoma Xtracab
Sedan,1995,Toyota,Tercel
Pickup,1995,Toyota,T100 Xtracab
Pickup,1995,Toyota,Xtra Cab
Coupe,1994,Toyota,Paseo
Sedan,1994,Toyota,Tercel
Pickup,1994,Toyota,T100 Regular Cab
SUV,1994,Toyota,Land Cruiser
"Hatchback, Coupe",1994,Toyota,Celica
Pickup,1994,Toyota,Xtra Cab
Coupe,1994,Toyota,MR2
"Coupe, Wagon, Sedan",1994,Toyota,Camry
"Sedan, Wagon",1994,Toyota,Corolla
Van/Minivan,1994,Toyota,Previa
"Coupe, Hatchback, Convertible",1993,Toyota,Celica
Hatchback,1994,Toyota,Supra
Pickup,1994,Toyota,Regular Cab
"Sedan, Wagon",1993,Toyota,Corolla
Hatchback,1993,Toyota,Supra
"Coupe, Sedan",1993,Toyota,Tercel
Coupe,1993,Toyota,MR2
"Coupe, Convertible, Hatchback",1992,Toyota,Celica
Pickup,1992,Toyota,Regular Cab
Van/Minivan,1993,Toyota,Previa
SUV,1993,Toyota,4Runner
"Wagon, Sedan",1993,Toyota,Camry
Sedan,1992,Toyota,Cressida
SUV,1993,Toyota,Land Cruiser
Coupe,1992,Toyota,Paseo
SUV,1992,Toyota,Land Cruiser
Coupe,1993,Toyota,Paseo
Sedan,1992,Toyota,Tercel
Pickup,1993,Toyota,T100 Regular Cab
SUV,1992,Toyota,4Runner
Pickup,1993,Toyota,Regular Cab
Hatchback,1992,Toyota,Supra
"Sedan, Wagon",1992,Toyota,Camry
Van/Minivan,1992,Toyota,Previa
Pickup,1993,Toyota,Xtra Cab
"Sedan, Wagon",1992,Toyota,Corolla
Coupe,1992,Toyota,MR2
Pickup,1992,Toyota,Xtra Cab
Sedan,2021,Toyota,Avalon
SUV,2021,Toyota,4Runner
Hatchback,2021,Toyota,Prius Prime
SUV,2021,Toyota,RAV4
Sedan,2021,Toyota,Camry
SUV,2021,Toyota,C-HR
SUV,2021,Toyota,RAV4 Prime
Sedan,2021,Toyota,Corolla Hybrid
SUV,2021,Toyota,RAV4 Hybrid
SUV,2021,Toyota,Land Cruiser
SUV,2021,Toyota,Highlander Hybrid
Pickup,2021,Toyota,Tacoma Access Cab
Hatchback,2021,Toyota,Prius
Sedan,2021,Toyota,Avalon Hybrid
SUV,2021,Toyota,Sequoia
Van/Minivan,2021,Toyota,Sienna
Hatchback,2021,Toyota,Corolla Hatchback
SUV,2021,Toyota,Highlander
Sedan,2021,Toyota,Camry Hybrid
Coupe,2021,Toyota,GR Supra
Sedan,2021,Toyota,Corolla
Pickup,2021,Toyota,Tacoma Double Cab
Pickup,2021,Toyota,Tundra Double Cab
Pickup,2021,Toyota,Tundra CrewMax
SUV,2021,Toyota,Venza
